Cuttree,False Negative (raw),False Positive (raw),FN %,FP %,PercentMatch
150000,7,9,53.84615385,69.23076923,38.46153846
125000,5,7,38.46153846,53.84615385,53.84615385
100000,4,7,30.76923077,53.84615385,57.69230769
75000,2,4,15.38461538,30.76923077,76.92307692
50000,2,1,15.38461538,7.692307692,88.46153846
40000,2,1,15.38461538,7.692307692,88.46153846
30000,4,4,30.76923077,30.76923077,69.23076923
25000,4,3,30.76923077,23.07692308,73.07692308
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
